City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,nizhniy kuranakh,58.8353,125.4869,-14.54,89,100,4.22,RU,1699151181
342,sur,22.5667,59.5289,25.35,65,91,4.47,OM,1699151181
343,grand falls-windsor,48.9332,-55.6649,4.17,90,100,4.55,CA,1699151182
344,hilo,19.7297,-155.09,27.85,63,0,4.12,US,1699151182
345,kish,26.5578,54.0194,26.15,73,0,3.09,IR,1699151182
346,hargeysa,9.56,44.065,17.73,95,66,2.85,SO,1699151182
347,bovril,-31.3431,-59.4451,14.39,74,0,3.78,AR,1699151183
348,cide,41.8921,33.0044,17.32,82,96,7.77,TR,1699151183
349,caleta de carquin,-11.0925,-77.6267,18.7,84,43,4.53,PE,1699151183
350,cozumel,20.5083,-86.9458,26.08,100,100,4.47,MX,1699151183
351,minas de marcona,-15.2119,-75.1103,13.98,81,83,4.93,PE,1699151184
352,tiverton,50.9,-3.4833,9.67,90,94,4.92,GB,1699151184
353,patan,27.6667,85.3333,14.49,82,20,0.89,NP,1699151184
354,howrah,22.5892,88.3103,26.0,83,40,0.0,IN,1699151185
355,merizo village,13.2658,144.6691,32.31,82,79,6.31,GU,1699151185
356,horta,38.5333,-28.6333,13.9,77,42,1.79,PT,1699151185
357,yuzhno-kurilsk,44.0306,145.8556,8.54,81,13,1.41,RU,1699151186
358,andovoranto,-18.95,49.1,22.85,92,100,4.65,MG,1699151186
359,zaqatala,41.6336,46.6433,12.26,94,20,3.09,AZ,1699151186
360,huaihua,27.5494,109.9592,18.41,90,100,0.68,CN,1699151187
361,haiku-pauwela,20.9219,-156.3051,28.01,56,20,9.77,US,1699151187
362,qarauyl,48.9451,79.255,2.58,67,85,1.7,KZ,1699151187
363,nao me toque,-28.4592,-52.8208,9.32,90,0,2.33,BR,1699151187
364,rio grande,-32.035,-52.0986,11.08,70,0,6.23,BR,1699151188
365,vargashi,55.3556,65.8467,-3.83,88,30,3.08,RU,1699151188
366,launceston,-41.45,147.1667,18.8,48,75,3.09,AU,1699151188
367,sinabang,2.4803,96.3801,27.04,82,100,1.88,ID,1699151188
368,santyoku,37.4406,129.1708,16.92,90,100,1.8,KR,1699151189
369,mount isa,-20.7333,139.5,34.87,8,16,3.09,AU,1699151189
370,porto murtinho,-21.6989,-57.8825,18.52,42,7,2.48,BR,1699151189
371,kavieng,-2.5744,150.7967,29.06,72,100,3.42,PG,1699151190
372,rocky mountain house,52.3668,-114.9188,2.06,87,100,0.51,CA,1699151093
373,camana,-16.6228,-72.7111,18.77,82,49,3.02,PE,1699151190
374,griffith,41.5284,-87.4237,8.27,93,0,0.0,US,1699151190
375,rabo de peixe,37.8,-25.5833,14.99,99,75,5.14,PT,1699151190
376,purcell,35.0137,-97.3611,18.43,78,36,4.17,US,1699150932
377,sabratah,32.7933,12.4885,19.61,37,0,4.75,LY,1699151191
378,carutapera,-1.195,-46.02,26.45,80,20,2.95,BR,1699151191
379,viedma,-40.8135,-62.9967,15.04,47,100,8.75,AR,1699151191
380,hashtrud,37.4779,47.0508,6.79,78,0,0.61,IR,1699151192
381,abong mbang,3.9833,13.1833,19.52,99,86,0.85,CM,1699151192
382,pangody,65.85,74.4859,-8.91,90,17,7.75,RU,1699151192
383,ebon,4.582,168.6964,28.93,74,44,5.84,MH,1699151192
384,shukat as sufi,31.26,34.2826,22.31,74,0,2.37,PS,1699151193
385,kununurra,-15.7667,128.7333,35.99,34,46,3.09,AU,1699151193
386,margherita,27.2833,95.6833,20.42,86,100,0.71,IN,1699151193
387,pimentel,-6.8367,-79.9342,20.16,77,0,7.2,PE,1699151194
388,lalibela,12.0333,39.0333,13.85,78,100,1.08,ET,1699151194
389,cayeli,41.0923,40.7292,20.44,47,37,3.33,TR,1699151194
390,kavaratti,10.5669,72.642,27.68,76,98,3.72,IN,1699151194
391,bikaner,28.0167,73.3,23.62,27,6,3.71,IN,1699151194
392,nadi,-17.8,177.4167,30.0,70,20,6.17,FJ,1699151195
393,harnai,30.1005,67.9374,18.12,33,21,0.89,PK,1699151195
394,kupang,-10.1667,123.5833,32.32,58,20,3.09,ID,1699151195
395,bordj bou arreridj,36.0732,4.7611,12.93,60,0,3.69,DZ,1699151195
396,plettenberg bay,-34.0527,23.3716,14.7,87,97,2.91,ZA,1699151196
397,collinsville,38.6703,-89.9846,13.9,66,75,2.57,US,1699151196
398,bereznik,62.8551,42.7072,-0.82,90,100,4.43,RU,1699151196
399,susuman,62.7833,148.1667,-13.34,93,100,1.79,RU,1699151196
400,tchintabaraden,15.8969,5.7985,26.51,16,77,3.2,NE,1699151196
401,suva,-18.1416,178.4415,30.71,66,40,3.6,FJ,1699151197
402,vadso,70.0744,29.7487,-0.91,74,40,8.75,NO,1699151197
403,isangel,-19.55,169.2667,24.91,77,100,4.79,VU,1699150968
404,kenora,49.8167,-94.4337,-1.46,80,100,1.03,CA,1699151031
405,kavarna,43.4333,28.3333,12.54,85,5,4.5,BG,1699151197
406,lockwood,45.8191,-108.4149,13.94,49,75,4.12,US,1699151198
407,tabas,33.5959,56.9244,18.12,59,57,1.03,IR,1699151198
408,blackwater,-23.5833,148.8833,30.39,48,16,3.61,AU,1699151198
409,great bend,38.3645,-98.7648,11.69,63,0,0.0,US,1699151198
410,alvaraes,-3.2208,-64.8042,25.93,78,100,1.08,BR,1699151199
411,tual,-5.6667,132.75,27.82,80,37,5.43,ID,1699151199
412,necochea,-38.5473,-58.7368,8.68,71,8,5.04,AR,1699151199
413,butjadingen,53.5472,8.335,9.56,89,100,7.49,DE,1699151199
414,willowmore,-33.2926,23.4895,12.68,74,33,1.29,ZA,1699151199
415,pisco,-13.7,-76.2167,19.03,82,0,7.2,PE,1699151200
416,praia,14.9215,-23.5087,25.3,78,40,5.14,CV,1699151200
417,sterling,39.0062,-77.4286,12.86,61,75,0.45,US,1699150910
418,la'ie,21.6477,-157.9253,29.98,71,7,2.68,US,1699151200
419,anadarko,35.0726,-98.2437,18.0,82,9,3.74,US,1699151201
